latitude,longitude,Address,Hospital Type,Services Empanelled
28.052305,76.1117024,"Vijay Hospital,OPP. BUS stand Narnaul, MAHENDRAGARH, HARYANA",Private (For Profit),"M2,M1,M7,M1,M7,S16,S2,S15,S6,M1,M2,S8,M1,S7,S12,M3,S7,S5,S4,S1,S8,S9"
28.1925411,77.3128433,"Sri Sathya Sai Sanjeevani International Centre for Child Heart Care and Research,Baghola, NH2, Delhi Mathura Road, PALWAL, HARYANA",Private (Not for Profit),"S13,S12"
29.380617,76.9770944,"G C GUPTA HOSPITAL PANIPAT,372-373 HUDA SEC-11 PANIPAT, PANIPAT, HARYANA",Private (For Profit),"S1,S2,S4,S7,S16,M1,M7"
29.3325995,76.9868459,"Park Hospital A unit of Park Medicity India Pvt Ltd,National Highway-1, G T Karnal Road, Panipat, PANIPAT, HARYANA",Private (For Profit),"M1,M2,S8,M1,S7,S12,M3,M2,M1,M7,M1,M7,M4,S16,S6,S10,S11,M6,M5,M1,S15,S8,S9,S7,S14,S13,S5,S4,S3,S2,S1"
29.398644,76.966315,"LALA HARBHAGWAN DASS MEMORIAL DR PREM HOSPITAL,BISHAN SARUP COLONY OPP BUS STAND , PANIPAT, HARYANA",Private (Not for Profit),"M1,M7,M1,M1,M2,S8,M1,S7,S12,M3,M2,M1,M7,S16,S6,S10,S11,M6,M5,S15,S8,S9,S7,S13,S5,S4,S3,S2,S1"
28.897523,76.5827128,"SHIVAM LIVER GASTRO SUPER SPECIALITY HOSPITAL,CIVIL ROAD, NEAR SHANT MAI CHOWK , ROHTAK, HARYANA",Private (Not for Profit),"M1,M7,S1"
30.367314,76.788403,"AGGARWAL HEART AND SURGICAL HOSPITAL,PREM NAGAR, AMBALA, HARYANA",Private (For Profit),"M1,M7,S1"
28.3772508,77.3260749,"Park Hospital A unit of Aggarwal Hospital and Research Services Pvt Ltd,J Block, Sector-10, Faridabad, FARIDABAD, HARYANA",Private (For Profit),"S1,S2,S3,S4,S6,S16,M1,S7,M1,M2,S8,M1,S5,S13,S14,S7,S8,S9,S15,M5,M6,S10,S11,M4,M1,M7,M1,M7,M2,M3,S12"
28.9784729,77.0290679,"DAHIYA EYE AND MATERNITY HOSPITAL,OLD DC ROAD, NEAR I.T.I. CHOWK, SONIPAT, HARYANA",Private (For Profit),"S4,S3,S1,S5"
30.1396346,77.2816247,"N K UROLOGY CENTRE AND STONE CLINIC,BYEPASS ROAD YAMUNANAGAR, YAMUNANAGAR, HARYANA",Private (For Profit),S7
28.9938668,77.016144,"Handa hospital and heart care centre,Sarang Road Sonipat, SONIPAT, HARYANA",Private (For Profit),"S1,S16,M1,S4,M1,M7"
28.9792288,77.0210951,"Cygnus JK Hindu Hospital,Industrial Area, SONIPAT, HARYANA",Private (Not for Profit),"M1,M7,M2,M3,S1,S3,S4,S5,S8,S9,M1,M7,S12"
30.6816021,76.8485767,"Raffels Hospital,raffels hospital,SCO 138, Sector 14,Panchkula, PANCHKULA, HARYANA",Private (For Profit),S5
29.1374458,75.7407529,"SUKHDA MULTISPECIALITY HOSPITAL,DELHI ROAD, OPPOSITE GREEN BELT, HISAR, HARYANA",Private (For Profit),"M1,M1,M2,S8,M1,S7,S12,M3,S2,S16,S1,S4,S5,M1,M7,M2,S8,S9,S7"
28.8808912,76.6277334,"Noble Heart and Super Specialty Hospital,Plot No. 2, Raj Garden, Delhi Bypass Chowk, Rohtak, Haryana, ROHTAK, HARYANA",Private (For Profit),"S12,M1,M7,M1,M7,S6,S8,S9,S13,S5,S1,S4"
28.8855942,76.614167,"ADVANTA SUPER SPECIALITY HOSPITAL,NEAR POWER HOUSE, DEV COLONY, DELHI ROAD, ROHTAK, HARYANA",Private (For Profit),"M2,S1,S4,S5,M1,M7"
29.140337,75.7446545,"AAROGYA HOSPITAL,OPPOSITE VISHWAS SCHOOL, URBAN ESTATE II, HISAR, HISAR, HARYANA",Private (For Profit),"S1,S4,S5,S6"
28.7983187,76.1441697,"Dhir Hospital,Meham Chowk Circular Road, BHIWANI, HARYANA",Private (For Profit),S3
28.7952723,76.1457843,"Eye Q Vision Pvt Ltd,Rohtak Gate, Dadri Road, Bhiwani, BHIWANI, HARYANA",Private (For Profit),S3
28.4092314,77.2817535,"Noble Hospital & Trauma Centre,Plot No. 1, Badkhal Pali Road, Opposite, Sector-48, Faridabad, FARIDABAD, HARYANA",Private (For Profit),"S1,S4,S12,S5,M1,M7,S16,S6,S10,S11"
29.721287,75.900883,"Eye Q Vision Pvt Ltd,7-8, Model Town ,Near New Bus Stand, FATEHABAD, HARYANA",Private (For Profit),S3
29.3066632,76.3168691,"BALAJI HOSPITAL,ROHTAK ROAD JIND , JIND, HARYANA",Private (Not for Profit),"M1,M7"
30.3892784,76.7700899,"Ishwar Hospital ambala city,Miri-Piri chowk, Spatu Road, Ambala City, AMBALA, HARYANA",Private (For Profit),"S15,S7,S5,S1,S4,M5,S8,S9,M1,M3,M1,M7,S6,S16,M2,M1,M7,S14,M1,M2,S8,M1,S7,S12,M4,S2,S3"
30.3365142,76.8652815,"Aneja Hospital and Nursing Home,Preet Nagar, Jagadhari Road, AMBALA, HARYANA",Private (For Profit),S1
30.380443,76.781533,"SARWAL HOSPITAL,4 Civil Lines Sarwal Hospital, AMBALA, HARYANA",Private (For Profit),"S1,S4,S5,S6"
28.3955558,77.2899216,"SANTOSH MULTISPECIALITY HOSPITAL,3f 139 nit faridabad1, FARIDABAD, HARYANA",Private (For Profit),"S1,S2,S3,S4,S5,S16,M1,M7,M1,M7,M2,M3,S12,M1,S7,M1,M2,S8,M1,S7,S8,S9,S15,M5,S10,S11,S6"
28.3378914,77.3215896,"SKG HOSPITAL,SKG HOSPITAL, GOPAL MANDIR GALI, FARIDABAD, HARYANA",Private (For Profit),S1
28.389118,77.2898051,"Apurva Nursing Home,2N/74, B.P. NIT , FARIDABAD, HARYANA",Private (For Profit),"S10,S11,S7,M2,M1,M7,S1,S2,S4,S5"
28.4162098,77.3680833,"Shanti Devi Memorial Hospital,KHERI MOR VILLAGE BHOPRANI NEAR PIYUSH HEIGHTS SECTOR 89 GREATER FARIDABAD, FARIDABAD, HARYANA",Private (For Profit),"S1,S2,S3,S4,S5,S16,M1,M7,M1,M7,M2"
28.3847439,77.367419,"Arsh Hospital,opp era redwood residency, tigaon road sector 78 faridabad, FARIDABAD, HARYANA",Private (For Profit),"M2,M1,M7,S4,S2,S1"
28.689812,76.9428177,"R J SUPER SPECIALITY HOSPITAL,DELHI ROHTAK ROAD -METRO PILLAR NO 802 BAHADURGARH , JHAJJAR, HARYANA",Private (For Profit),"S16,S1,S2,S4,S5,S13,S14,S8,S9,S10,S11,M1,M7,M1,M7,M2,M3,S12,M1,S7,M1,M2,S8,M1"
28.6903455,76.9416188,"DELHI HOSPITAL AND NURSING HOME BAHADURGARH,MAIN DELHI-ROHTAK ROAD, JHAJJAR, HARYANA",Private (For Profit),"M1,M3,M2,S16,M1,M7,M1,M7,S6,S1,S2,S3,S4,S5"
28.4814431,77.0864021,"Uma Sanjeevani Health Centre Pvt Ltd,1, Dakshin Marg, DLF City -II, GURUGRAM, HARYANA",Private (For Profit),"S1,S2,S3,S4,S5,M1,M7,M2"
28.4570571,77.020177,"TIRATH RAM HOSPITAL PVT LTD,TIRATH RAM HOSPITAL PVT LTD, GURUGRAM, HARYANA",Private (For Profit),S5
28.4562578,77.0371936,"Bhanot Hospital,Sco 188/18,New friends colony, jharsa road, GURUGRAM, HARYANA",Private (For Profit),"S15,S1,S5,S10,S11"
28.433393,77.059501,"Eye Q Vision Pvt Ltd,Nursing home- 1, Sector-46, Opp HUDA Market, Gurgaon, GURUGRAM, HARYANA",Private (For Profit),S3
28.459147,77.0846223,"Muskaan Dentals,C 1039 GF Sushant lok 1 Near Vyapaar Kendra, GURUGRAM, HARYANA",Private (For Profit),S16
28.463858,77.0654182,"Centre For Sight Gurgaon,317 SCO Complex Central Avenue Sector 29, GURUGRAM, HARYANA",Private (For Profit),S3
29.6900124,76.9920973,"Miglani Nursing Home,OLD KUNJPURA ROAD, NEAR S.D. MANDIR, KARNAL, HARYANA",Private (For Profit),"S7,S1"
28.2657827,76.147215,"krishna eye hospital,COLLEGE ROAD , MAHENDERGARH, MAHENDRAGARH, HARYANA",Private (For Profit),S3
28.1445794,77.335549,"Rahul Nursing Home,Near bus stand, Delhi Mathura Road., PALWAL, HARYANA",Private (For Profit),"M2,S4"
28.1505603,77.3252065,"PALWAL HOSPITAL,OLD G T ROAD,NEAR NEW SOHNA MOD, PALWAL, HARYANA",Private (For Profit),"S1,M1,S4,S7,M1,M7,M1,M7"
28.8871504,76.6093127,"OscarSuper Speciality Hospital & Trauma Center,MEDICAL MORE PGIMS ROAD ROHTAK, ROHTAK, HARYANA",Private (For Profit),"M1,M7,S1,S4,S5,S13,M1,M1,M2,S8,S12,M2,M1,M7"
28.8807505,76.626768,"ARS HOLY HEART ADVANCED CARDIAC CARE & RESEARCH CENTRE,330, Vinay nagar, Delhi Bypass chowk, Rohtak, ROHTAK, HARYANA",Private (For Profit),S12
28.9109391,76.5882817,"rathi eye hospital,Rathi Eye Hospital Sukhpura Chowk, Rohtak-124001, ROHTAK, HARYANA",Private (For Profit),S3
28.8910998,76.6080536,"ONYX STONES HOSPITAL,ONYX STONE HOSPITAL, 11 L MODEL TOWN ROHTAK, ROHTAK, HARYANA",Private (For Profit),S7
29.3888644,76.992743,"APEX HOSPITAL,Sanoli Road near Babail Naka , PANIPAT, HARYANA",Private (For Profit),"S1,S4,S5,S16,M1,M7"
29.3971702,76.9704012,"Jatindera Hospital Panipat,126, Sukhdev Nagar, PANIPAT, HARYANA",Private (For Profit),"S1,S4"
29.3888659,76.9928255,"PAWANANJALI HOSPITAL,NEAR BABAIL CHOWK, SANOLI ROAD , PANIPAT, HARYANA",Private (For Profit),"S4,S1"
29.392728,76.957853,"rainbow hospital,152 - R Model Town, Near Ram Lal chowk, PANIPAT, HARYANA",Private (For Profit),"M3,M2,M1,M7,M1,M7,S14,S5,S4,S2,S1"
29.5344696,75.041215,"TALWAR HOSPITAL IVF CENTRE,UNDER RAILWAY BRIDGE, HISAR ROAD ,SIRSA, SIRSA, HARYANA",Private (For Profit),"M1,M1,M7,S4,M1,M7"
29.5506054,75.0253682,"SHREE HOSPITAL,SHREE HOSPITAL , OPPOSITE HONDA SHOWROOM, SIRSA, HARYANA",Private (For Profit),"M1,M7,S16,M1,S4,S1"
29.5345096,75.0336619,"sirsa ent hospital and laser surgery centre,sirsa ENT Hospital, Near Dena Bank, Dabwali Road, Lal Batti Chowk, SIRSA, HARYANA",Private (For Profit),S2
29.537031,75.027128,"APEX HOSPITAL AND RESEARCH CENTRE,CIRCULAR ROAD, SIRSA, HARYANA",Private (For Profit),"S7,M1,M7,S4,S1"
28.963485,77.0877437,"RAMA HOSPITAL,RAMA HOSPITAL , SONIPAT, HARYANA",Private (For Profit),"S10,S11,S1,S8,S9,S7,S16,M1,M7,M2,M3,M1,S7,M1,S2,S4,S5,S6,M1,M7"
28.984404,77.0210749,"ARYA EYE HOSPITAL,218 L MODEL TOWN, ATLAS ROAD, SONIPAT, HARYANA",Private (For Profit),S3
29.1353973,77.0208415,"Moolchand Jain Hospital,Devilal Chowk, SONIPAT, HARYANA",Private (For Profit),S5
28.9842158,77.0151097,"CHAUHAN HOSPITAL,Chauhan Hospital Kath Mandi, SONIPAT, HARYANA",Private (For Profit),"M1,M7,M1,M7,S1,S4"
28.1998652,76.6103908,"DR S P YADAV MULTISPECIALITY HOSPITAL,KANOD GATE, CIRCULAR ROAD, REWARI, HARYANA",Private (For Profit),"M1,M7,S1,S2"
28.197356,76.6089069,"SINGLA HOSPITAL,Opp. Sandpiper Tourist Complex, Circular Road, REWARI, HARYANA",Private (For Profit),S5
28.198259,76.6244013,"VIRAT HOSPITALS,7691 Dharuhera chungi circular road , REWARI, HARYANA",Private (For Profit),"S5,M1,M7,M2,S12,M1,S7,M1,M7,S4,S1"
29.9717591,76.8412978,"SETHI NURSING HOME,1741/5,jyoti nagar,sethi nursing home , red road , kurukshetra haryana, KURUKSHETRA, HARYANA",Private (For Profit),"M1,M7,M2"
29.9662476,76.8413008,"AGARWAL NURSING HOME,Salarpur Road, Kurukshetra, KURUKSHETRA, HARYANA",Private (For Profit),"S1,S2,S3,S4,M1,M7,M1,M7,M2,S12"
29.9732633,76.8387266,"S Mehta Surgical and Maternity,S Mehta Surgical and Maternity Hospital , KURUKSHETRA, HARYANA",Private (For Profit),"S1,S4"
29.9883294,76.5883534,"SARASWATI MISSION HOSPITAL,Ambala Road, KURUKSHETRA, HARYANA",Private (For Profit),"S1,S2,S3,S4,S5,S8,S9,S7,M3,S15,S10,S11,S16,M1,M7,M1,M7,M2,M1,S7,S14"
29.9664805,76.8301371,"SARASWATI MISSION HOSPITAL,SAINI SAMAJ BHAWAN NEAR BIRLA MANDIR CHOWK, KURUKSHETRA, HARYANA",Private (For Profit),"M2,S4,S3,S1,S2,M1,M7,S15,S5,S14,S7,S10,S11"
29.9744481,76.861152,"BS HEART CARE AND MULTISPECIALITY HOSPITAL,Mohan Nagar, Opp. Easy Day, Pipli Road, Kurukshetra, KURUKSHETRA, HARYANA",Private (For Profit),"S12,M1,M7,S4,S1"
29.9718988,76.8436142,"Sobti Nursing Home,Sobti Nursing Home, KURUKSHETRA, HARYANA",Private (For Profit),"S16,S3"
29.8009073,76.4154696,"ganpati surgical and trauma hospital,MITC COLONY ,Karnal Road Kaithal, KAITHAL, HARYANA",Private (For Profit),S1
30.1268036,77.289971,"GOEL HOSPITAL,55,SHANKAR NAGAR,OPP ESI HOSPITAL,YAMUNANAGAR, YAMUNANAGAR, HARYANA",Private (For Profit),S5
30.1469937,77.2901272,"gaba hospital,bye pass road,, YAMUNANAGAR, HARYANA",Private (For Profit),"M1,S7,M3,M2,M1,M7,M1,M7,M1,S1,S4,S5,S14,S8,S9,S7,S6"
30.1525354,77.3092113,"Garg ENT Hospital,462/2,OPPOSITE DIMPLE CINEMA,PURAN VIHAR, JAGADHRI YAMUNA NAGAR, YAMUNANAGAR, HARYANA",Private (For Profit),S2
30.1475443,77.3052767,"KAPIL HOSPITAL,Yamuna nagar Road Jagadhri, YAMUNANAGAR, HARYANA",Private (For Profit),"S16,M1,M1,M7"
28.6616176,76.6849926,"WORLD COLLEGE OF MEDICAL SCIENCES AND RESEARCH and HOSPITAL,Village - Gurawar, Post - Jondhi, P.S. - Dujana, Distt. - Jhajjar, Haryana - 124103, JHAJJAR, HARYANA",Private (Not for Profit),"S1,S2,S16,S3,S4,S5,M1,M7,M1,M2,S14,S7,S8,S9,S10,S11,S6,M1,M7,S12,M1,S7,M1,M2,S8"
29.5335931,75.017703,"Shree Balaji hospital,Surkhab chowk, SIRSA, HARYANA",Private (For Profit),"S2,S4"
29.4673123,75.0684334,"Shah Satnam Ji Speciality Hospitals,Shah Satnam Ji Speciality Hospitals , SIRSA, HARYANA",Private (Not for Profit),"S2,S3,S4,S5,S16,M1,M7"
29.6826799,76.9984236,"SUSHIL GARG HOSPITAL,SUSHIL GARG HOSPITAL, 1942-43, SEC-13, URBAN ESTATE, KARNAL, KARNAL, HARYANA",Private (For Profit),S3
29.6938068,76.9894644,"Saraswati nethralaya,Saraswati Nethralaya, KARNAL, HARYANA",Private (For Profit),S3
29.744311,76.9599138,"Park Hospital a unit of DMR Hospitals Pvt Ltd,CHD CITY, SECTOR-45, GT KARNAL ROAD, KARNAL, HARYANA",Private (For Profit),"S8,S9,S7,S14,S13,S5,S4,S3,S2,S1,M1,M7,M6,M1,S7,S12,M1,M1,M2,S8,S15,M5,S10,S11,S6,S16,M4,M1,M7,M2,M3"
30.3630283,76.791399,"Sanjivni Eye and Medicare Centre,SANJIVNI EYE AND MEDICARE CENTRE, AMBALA, HARYANA",Private (For Profit),S3
30.370315,76.783862,"Sri Onkar EYE and ENT Care Centre,1402/677, New Model Colony, Opp Old Session Court Petrol Pump,, AMBALA, HARYANA",Private (For Profit),"S3,S2"
30.3369444,76.8642109,"Monga Hospital and Stone Center,Mahesh Nagar, Jagadhri Road, Ambala Cantt, AMBALA, HARYANA",Private (For Profit),"S1,M1,M7"
30.3797229,76.7828431,"M M Hospital,742/5, 6, POLICE LINE, AMBALA CITY, AMBALA, HARYANA",Private (For Profit),"S1,S7"
30.3370081,76.8678604,"C lall hospital,530 arya nagar ambala cantt, AMBALA, HARYANA",Private (For Profit),"S4,S5"
30.2503743,77.0498657,"M M INSTITUTE OF MEDICAL SCIENCES AND RESEARCH,M.M. INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, MULLANA, AMBALA, AMBALA, HARYANA",Private (For Profit),"S1,S2,S3,S4,S5,M1,S7,S13,S14,S7,S8,S9,M6,S10,S11,S6,S16,M1,M7,M1,M7,M2,S12,M1"
28.800218,76.1423691,"JB GUPTA HOSPITAL,CHIRIYA GHAR BABA NAGAR BHIWANI , BHIWANI, HARYANA",Private (For Profit),"M1,M7,S12,M1,M1,M7"
29.1340731,77.0174073,"Sita Hospital,453-B/9, SONIPAT, HARYANA",Private (Not for Profit),"S1,S4,S7,M1,M7,M1,S3"
28.9876433,77.006369,"DAYANAND HOSPITAL AND CRITICAL CARE CENTRE,KAKROI ROAD near ravi dharam kanta, SONIPAT, HARYANA",Private (Not for Profit),"S4,M1,M7,S1,M1,S7,M2,S16,S12,S15,S8,S9,M5"
28.9914163,77.032713,"Haryana multispeciality hospital,DELHI ROAD, SONIPAT, HARYANA",Private (For Profit),"M1,M7,S1,S12,M1,M7,S16,S8,S9,S5,S4,S3"
28.9920477,77.034287,"kalawati anand hospital,Kalawati Anand hospital , inside Bharat hospital complex, NEAR VIVEKANAND CHOWK ,SEC-14, , SONIPAT, HARYANA",Private (For Profit),"S4,M1,M7,M2"
28.975946,77.006948,"RAWAL MULTISPECIALITY HOSPITAL,O-2, Industrial area, Opp. Maco Factory, Rohtak Road, SONIPAT, HARYANA",Private (For Profit),"S3,M1,M7"
28.4953572,77.0114836,"CHIRAG HOSPITAL,3236/31, GURUGRAM, HARYANA",Private (For Profit),"M1,S5,M3,M2,M1,M7,S16,S6,S10,S11,S4,S2,S1"
28.4249157,77.0935904,"kriti hospital,plot no 13 sec 56 gurgaon , GURUGRAM, HARYANA",Private (For Profit),"S1,S2,S16,M1,M7,M1,M7,M2,M3,M1,M2,S8,M1,S4,S5,S14,S12,S15,M5,S10,S11"
28.4559083,77.0373804,"Dayal eye centre,SCo No 11 Friends Colony Main Jharsa Road Opp. Housing Board Colony Gurugram, GURUGRAM, HARYANA",Private (For Profit),S3
28.4574322,76.9860084,"Alfaa health care,MAIN FARUKHNAGAR BASAI ROAD, VILL BASAI , GURUGRAM, HARYANA",Private (Not for Profit),"S5,S4,S2,S16,S6,S10,S11,M1,S1,M1,M7,M2"
28.5182356,77.0387785,"METRO HOSPITAL AND HEART INSTITUTE,H-Block, Palam Vihar, Gurgaon , GURUGRAM, HARYANA",Private (For Profit),"S1,S2,S3,S4,S5,S13,S8,S9,M1,M7,M1,M7,M2,M3,S12,M1,S7,M1,M2,S8,M1"
29.3059654,76.3120307,"BAL DHARAMARTH HOSPITAL SAMITI,BHIWANI ROAD, JIND, HARYANA",Private (Not for Profit),S4
29.1894894,75.4961968,"SL MINDA MEMORIAL HOSPITAL,S L MINDA MEMORIAL HOSPITAL BAGLA, BAGLA ROAD, HISAR, HARYANA",Private (Not for Profit),"S1,S2,S3,M1,M7,M1,M7,S16,S5,S4,M1,M2"
29.1298445,75.7432815,"VK neurocare and trauma research hospital,n -159,model town, HISAR, HARYANA",Private (Not for Profit),"S1,S5,S8,S9,S6,M1,M7,S16,M1,M7"
29.1314874,75.7383953,"SAI HOSPITAL,tosham road near HUDA Office Hisar, HISAR, HARYANA",Private (For Profit),S2
29.1389393,75.7381917,"BHARAT MULTISPECIALITY HOSPITAL HISAR HARYANA,DELHI ROAD, DABRA CHOWK, HISAR, HARYANA",Private (For Profit),"S1,S5,S3,S7,M1,M7,S6,S16,M1,M7,S8,S9"
29.169249,75.7211212,"SHAKTI NEURO SCIENCE CENTRE,BARWALA ROAD HISAR, HISAR, HARYANA",Private (For Profit),"M1,M2,S8"
29.3872793,76.9785823,"IBM HOSPITAL AND TRAUMA CENTRE,SANOLI ROAD NEAR BHIM GODA MINDER, PANIPAT, HARYANA",Private (Not for Profit),"S1,S6,S10,S11,S8,S9,S4,S2,M1,M1,S7,S12,M1,M7,M1,M7,S16"
29.399597,76.9756962,"CYGNUS MAHARAJA AGGERSSAIN HOSPITAL,NEAR DEVI MANDIR, PANIPAT, HARYANA",Private (For Profit),"S1,S2,S5,S13,S8,S9,S10,S11,M1,M7,M1,M7,S12,M1,S7,M1,M2,S8,M1"
29.3915187,76.9571105,"GUPTA EYE HOSPITAL,332 R MODEL TOWN PANIPAT, PANIPAT, HARYANA",Private (For Profit),S3
29.3888215,76.9862269,"R M ANAND HOSPITAL,SANOLI ROAD, PANIPAT, HARYANA",Private (For Profit),"M2,S1,S7,M3"
30.1822243,77.2883108,"Aggarwal Hospital,Main,Road,Jagadhri-Yamunanagar, YAMUNANAGAR, HARYANA",Private (For Profit),"S1,S2,S4,S5,S14,S7,S15,S10,S11,M1,M7,M2,M1"
30.1519189,77.3080428,"GOYAL EYE CARE CENTRE JAGADHRI,OPP.DIMPLE CINEMA, YAMUNANAGAR, HARYANA",Private (For Profit),S3
28.3930966,77.3039618,"Surya Ortho and Trauma Centre,5R/5,NIT,Faridabad , FARIDABAD, HARYANA",Private (For Profit),S5
28.0631469,76.1072074,"krishna eye hospital,baba kheta nath complex, mahendragarh road, narnaul, MAHENDRAGARH, HARYANA",Private (For Profit),S3
28.0571738,76.1052816,"Samvedna Hospital,Samvedna hospital, MAHENDRAGARH, HARYANA",Private (Not for Profit),"S1,S4,S5,M1,M7,S2,M1,M7,M2,S6,S16"
28.2538008,76.1442057,"Ganga Devi Pandey Eye Hospital,Pandit Deen Dayal Marg, Old Narnaul Road, Mahender Garh, MAHENDRAGARH, HARYANA",Private (Not for Profit),S3
29.695669,76.993024,"Bhatnagar eye care centre,BHATNAGAR EYE CARE CENTRE, KARNAL, HARYANA",Private (For Profit),S3
28.4116666,77.3148529,"CENTRE FOR SIGHT FARIDABAD,Plot No. 1, Huda Market No.1, Beside Hanuman Mandir, Sector-16A, Near Old Faridabad Metro Station, FARIDABAD, HARYANA",Private (For Profit),S3
28.4761453,77.0454526,"Sudarshan Poly Dental Centre,SHOP NO 21 SECTOR 14 OLD DELHI ROAD NEAR UNION BANK, GURUGRAM, HARYANA",Private (For Profit),S16
28.4258338,77.0947308,"MUSKAAN DENTALS,H NO 167P Near Kendriya Vihar Sector 56, GURUGRAM, HARYANA",Private (For Profit),S16
29.1739142,75.7134591,"GUPTA HOSPITAL,SEC 14 OPP NEW GRAIN MARKET SIRSA ROAD, HISAR, HARYANA",Private (For Profit),"M1,M7"
29.1323103,75.7432074,"Geetanjali Hopital,270, Gurudwara Road, Model Town, Hisar, HISAR, HARYANA",Private (For Profit),"M1,M7,S4,S3,S1"
29.31403,76.3253048,"SARASWATI EYE CARE CENTRE,66/6, RAJWAHA ROAD, OPPOSITE BUS STAND, JIND, HARYANA",Private (For Profit),S3
29.3136959,76.3248861,"Meenakshi jain hospital,55/6 Gandhi nagar scheme no. 6 near bus stand jind, JIND, HARYANA",Private (For Profit),"S1,S16,M1,M7"
29.3144261,76.3236828,"MANGLA HOSPITAL,MANGLA HOSPITAL, JIND, HARYANA",Private (For Profit),"S1,S4,S7"
29.6919744,76.9930478,"SURYA HOSPITAL,kunjpura road , karnal, KARNAL, HARYANA",Private (For Profit),"S4,M1,M7,M1,S14,M2,S10,S11,S7,S1"
29.6951517,76.9906779,"SHREE HARI HOSPITAL,Shree Hari Hospital 31, ashoka colony, 31, ashoka colony, KARNAL, HARYANA",Private (For Profit),"M1,M1,M2,S8,M3,M2,M1,M7,S6,M1,M7,S7,S1,S4,S5,S14,S8,S9,S16"
29.6871184,77.0122072,"haryana hospital,hospital site no 5 , sector 7 , near main market , karnal, KARNAL, HARYANA",Private (For Profit),"S6,S5"
29.6946934,76.9916336,"ARVIND HOSPITAL,1 DUGGAL COLONY, KARNAL, HARYANA",Private (For Profit),"S8,S9,M1,M1,M2,S8,M3,M2,M1,M7,M1,M7,S6"
29.6880866,76.9917575,"THAKUR EYE AND MATERNITY HOSPITAL,NEAR HEAD POST OFFICE, KUNJPURA ROAD, KARNAL, HARYANA",Private (For Profit),S3
29.6914468,77.0015517,"SH MOOLCHAND KIDNEY HOSPITAL AND UROLOGICAL INSTITUTE,1075-76, SECTOR 13 URBAN ESTATE, KARNAL, HARYANA",Private (For Profit),"S7,M1,M7,S12,M1,S7,S1"
29.9744088,76.8765662,"SAINI EYE CARE CENTRE,SAINI EYE CARE CENTRE KURUKSHETRA, KURUKSHETRA, HARYANA",Private (For Profit),S3
29.9734768,76.8381989,"Shri Balaji Aarogyam Hospital,Shri Balaji Aarogyam Hospital Private Limited, Behind Old Bus Stand, Jyoti Nagar, KURUKSHETRA, HARYANA",Private (For Profit),"M1,M7,S1,S4"
28.0526148,76.1100827,"Imran ent hospital,imrann hospital, rewari road,near bus stand, narnaul, MAHENDRAGARH, HARYANA",Private (For Profit),S2
30.661016,76.8824771,"Ojas Super Speciality Hospital,H-1, SECTOR 26, PANCHKULA, PANCHKULA, HARYANA",Private (For Profit),"S6,S8,S9,S13,S5,S2,S1,M1,M1,M2,S8,M1,S7,S12,M1,M7,M1,M7,S16"
30.6859432,76.8412615,"A ONE CREATIONS PVT LTD,NURSING HOME SITE NO 1 BEHIND RAGHUNATH MANDIR , PANCHKULA, HARYANA",Private (For Profit),S3
30.6730763,76.8509746,"Malik Medical and Diagnostic Centre,House no-508-a, sector-12-a, PANCHKULA, HARYANA",Private (For Profit),"M2,M1,M7,M1,M7,S7,S1"
30.6962241,76.8654937,"Kare Partners Mother & Child Hospital,Site no. 1, Sector- 2, Panchkula, PANCHKULA, HARYANA",Private (For Profit),"S4,M2"
29.3989865,76.9745221,"saiprasann medicentre and satya clinic,89 Devi Murti colony Panipat HR, PANIPAT, HARYANA",Private (For Profit),S14
30.136567,77.278293,"Gulati hospital,169, SAROJANI COLONY PHASE -1 YAMUNA NAGAR, YAMUNANAGAR, HARYANA",Private (For Profit),"S4,M1,M7"
30.1523063,77.3083235,"VISHAL HOSPITAL,Aggarsen Chowk, YAMUNANAGAR, HARYANA",Private (For Profit),"M2,S4,S3,S1"
29.9739249,76.8615669,"KURUKSHETRA NURSING HOME,PIPLI ROAD KURUKSHETRA, KURUKSHETRA, HARYANA",Private (For Profit),"M1,M7,M1,M7,S16,S6,S8,S9,S7,S13,S5,S1,M1,M1,M2,S8,M1,S7,S12,S2"
30.3015942,77.3037636,"CHC Bilaspur,Community Health Center Bilaspur, YAMUNANAGAR, HARYANA",Public,BLANK
29.9748877,76.581381,"CHC Pehowa,chc pehowa, KURUKSHETRA, HARYANA",Public,BLANK
29.0735649,76.5564093,"CHC CHIRI,CHC CHIRI , ROHTAK, HARYANA",Public,BLANK
28.7581953,76.4869109,"CHC KAHNAUR,Community Health Centre,Kahnaur, ROHTAK, HARYANA",Public,BLANK
28.940951,76.4320269,"CHC MADINA,V.P.O. Madina, ROHTAK, HARYANA",Public,BLANK
29.386514,75.3398413,"COMMUNITY HEALTH CENTRE BHATTU KALAN,NEAR RAILWAY STATION BHATTU KALAN, FATEHABAD, HARYANA",Public,BLANK
30.3316295,76.8467367,"Rotary Ambala Cancer And General Hospital,Ram Bagh Road, Opp. Dusshera ground Ambala cantt, AMBALA, HARYANA",Private (Not for Profit),"M5,S1,S2,S5,S12,M1,M7,M1,M7,S10,S11"
